type,t,h
v,8.10,87.00
v,8.10,87.00
v,8.10,87.00
v,8.10,87.00
v,8.10,87.00
a,8.10,87.00
v,8.10,87.00
a,8.10,87.00
v,29.40,28.50
a,12.36,75.30
v,29.40,28.50
a,16.62,63.60
v,29.40,28.50
a,20.88,51.90
v,29.40,28.50
a,25.14,40.20
v,-9.90,73.50
a,21.54,37.50
v,-9.90,73.50
a,13.68,46.50
v,-9.90,73.50
a,5.82,55.50
v,-9.90,73.50
a,-2.04,64.50
v,28.30,19.50
a,-2.26,62.70
v,28.30,19.50
a,5.38,51.90
v,28.30,19.50
a,13.02,41.10
v,28.30,19.50
a,20.66,30.30
v,47.40,19.50
a,32.12,19.50
v,47.40,19.50
a,35.94,19.50
v,47.40,90.50
a,39.76,33.70
v,47.40,90.50
a,43.58,47.90
v,47.40,90.50
a,47.40,62.10
v,47.40,90.50
a,47.40,76.30
v,24.10,18.50
a,42.74,76.10
v,24.10,18.50
a,38.08,61.70
v,24.10,18.50
a,33.42,47.30
v,24.10,18.50
a,28.76,32.90
v,24.10,18.50
a,24.10,18.50
v,24.10,18.50
a,24.10,18.50
v,24.10,18.50
a,24.10,18.50
v,24.10,18.50
a,24.10,18.50
v,24.10,18.50
a,24.10,18.50
v,24.10,18.50
a,24.10,18.50
v,48.50,31.00
a,28.98,21.00
v,48.50,31.00
a,33.86,23.50
v,48.50,31.00
a,38.74,26.00
v,48.50,31.00
a,43.62,28.50
v,-0.40,51.50
a,38.72,35.10
v,-0.40,51.50
a,28.94,39.20
v,-0.40,51.50
a,19.16,43.30
v,-0.40,51.50
a,9.38,47.40
v,-0.40,51.50
a,-0.40,51.50
v,-0.40,51.50
a,-0.40,51.50
v,19.80,71.00
a,3.64,55.40
v,19.80,71.00
a,7.68,59.30
v,19.80,75.50
a,11.72,64.10
v,19.80,75.50
a,15.76,68.90
v,37.90,43.50
a,23.42,67.30
v,37.90,43.50
a,27.04,61.80
v,37.90,43.50
a,30.66,56.30
v,37.90,43.50
a,34.28,49.90
v,26.20,35.50
a,35.56,41.90
v,26.20,35.50
a,33.22,40.30
v,50.60,35.50
a,35.76,38.70
v,50.60,35.50
a,38.30,37.10
v,50.60,56.50
a,40.84,39.70
v,50.60,56.50
a,45.72,43.90
v,-5.70,64.00
a,39.34,49.60
v,-5.70,64.00
a,28.08,55.30
v,-5.70,73.50
a,16.82,62.90